Folder,Molecule,alpha_GFN2,alpha_wb97,error
kyle-mutants,518,87.07219871599999,515.898548,428.826349284
kyle-mutants,814,82.71549429999999,322.38662400000004,239.6711297
kyle-mutants,1712,82.676423336,274.0354187,191.358995364
kyle-mutants,897,66.877427628,236.784904,169.907476372
kyle-mutants,1090,133.985175668,294.2733827,160.288207032
pubchemqc,6993689,23.28689692518371,182.8569700208803,159.570073095697
kyle-mutants,1079,118.47687371599999,276.0554707,157.578596984
mike-copolymer,46-47_AB3,77.74000025599999,227.732632,149.992631744
kyle-mutants,822,107.26287479199999,252.4384693,145.175594508
kyle-mutants,883,105.11872005599999,244.06640530000004,138.947685244
kyle-mutants,582,107.6459463,246.1383067,138.4923604
kyle-mutants,496,100.16922620799998,236.2175213,136.048295092
kyle-mutants,441,94.0877551,226.5468067,132.4590516
kyle-mutants,1610,120.62268116799999,251.555748,130.933066832
kyle-mutants,1482,71.13331799599999,197.026332,125.893014004
kyle-mutants,733,69.31258173999998,192.565908,123.25332626
pubchemqc,58301030,21.095607208839773,143.897727579196,122.802120370356
kyle-mutants,1505,52.75916890799999,170.706308,117.947139092
kyle-mutants,1489,132.79789672799998,249.54260269999997,116.744705972
kyle-mutants,560,88.680450188,205.0096493,116.329199112
kyle-mutants,1769,103.26496840400002,218.5130213,115.248052896
kyle-mutants,1575,99.016783508,214.232516,115.215732492
kyle-mutants,579,115.611257756,230.41375069999998,114.802492944
kyle-mutants,317,67.4359706,181.5797693,114.1437987
kyle-mutants,990,101.773217796,215.09841469999998,113.325196904
kyle-mutants,81,129.19261584,241.6186333,112.42601746
kyle-mutants,1064,100.39963157199998,211.9767,111.577068428
kyle-mutants,903,118.479242752,229.19615469999997,110.716911948
kyle-mutants,39,111.59308439599998,221.5539773,109.960892904
kyle-mutants,1361,86.8196749,195.5835293,108.7638544
kyle-mutants,310,72.344001952,179.5240493,107.180047348
kyle-mutants,1660,102.937709768,209.15887869999997,106.221168932
kyle-mutants,734,97.48665072799999,202.85911069999997,105.372459972
kyle-mutants,383,77.922055352,183.0542933,105.132237948
kyle-mutants,1244,84.20752492399998,188.65599469999998,104.448469776
kyle-mutants,429,98.44464422,202.29478669999997,103.85014248
pubchemqc,22889495,23.375069051163848,125.22941765259222,101.854348601428
kyle-mutants,1701,102.93629177999999,204.20265469999998,101.26636292
kyle-mutants,338,94.074732136,194.2351507,100.160418564
kyle-mutants,718,73.70584911200001,173.7237813,100.017932188
kyle-mutants,799,106.79945423199999,206.14500669999998,99.345552468
kyle-mutants,467,133.69277265999997,232.72551069999997,99.03273804
kyle-mutants,783,102.782788696,200.93052269999998,98.147734004
kyle-mutants,1009,135.53035338799998,233.11859869999998,97.588245312
kyle-mutants,1199,109.90031130799998,205.703868,95.803556692
kyle-mutants,1030,86.753134544,182.05322130000002,95.300086756
kyle-mutants,1716,86.02217172,181.290676,95.26850428
kyle-mutants,630,94.05317504799999,187.940464,93.887288952
kyle-mutants,169,132.160549084,225.975872,93.815322916
kyle-mutants,1670,85.258827236,178.44508000000002,93.186252764
kyle-mutants,1089,114.32404018799998,207.494224,93.170183812
kyle-mutants,1820,108.596205312,200.687852,92.091646688
kyle-mutants,133,75.332648388,167.3580053,92.025356912
kyle-mutants,1323,80.996059752,172.734056,91.737996248
kyle-mutants,877,80.17196970399999,171.051592,90.879622296
kyle-mutants,1356,72.264143668,163.023332,90.759188332
kyle-mutants,1181,94.277530912,184.52852130000002,90.250990388
kyle-mutants,1130,94.867340216,184.898176,90.030835784
kyle-mutants,1717,66.955753668,156.94773469999998,89.991981032
kyle-mutants,1363,81.14483231199999,170.8825267,89.737694388
kyle-mutants,1116,118.57294806399999,208.0153813,89.442433236
kyle-mutants,1630,87.93192228,177.11386930000003,89.1819470200001
kyle-mutants,758,98.24814905999999,186.99558269999997,88.74743364
kyle-mutants,1266,91.61003559599999,180.230404,88.620368404
kyle-mutants,1874,94.73493275599998,182.73091330000003,87.9959805440001
